Édouard Herve de Besson;Doki Doki Literature Club!;Total War: WARHAMMER II;TEKKEN 7;The Evil Within 2;NieR:Automata™
Océane Durand;;Battle Brothers;ELEX;NieR:Automata™;Divinity: Original Sin 2
Marianne Marin;;PLAYERUNKNOWN'S BATTLEGROUNDS;Snake Pass;Atelier Sophie: The Alchemist of the Mysterious Book;Wonder Boy: The Dragon's Trap
Matthieu Diallo;Tokyo Xanadu eX+;The Legend of Heroes: Trails of Cold Steel;Zwei: The Ilvard Insurrection;NieR:Automata™;The Legend of Heroes: Trails in the Sky the 3rd
Valentine Parent;Zero Escape: The Nonary Games;????? ? Hidden Star in Four Seasons.;Umineko When They Cry - Answer Arcs;The Legend of Heroes: Trails in the Sky the 3rd;NieR:Automata™
Eugène Le Gautier;;;Prey;Doki Doki Literature Club!;Divinity: Original Sin 2
Timothée-Sébastien Delmas;Everything;Sonic Mania;PLAYERUNKNOWN'S BATTLEGROUNDS;Cuphead;Hollow Knight
Capucine Aubry Le Cousin;NieR:Automata;Battle Chasers: Nightwar;RESIDENT EVIL 7 biohazard / BIOHAZARD 7 resident evil;Nioh: Complete Edition / ?? Complete Edition;Hollow Knight
Christophe Pineau;Bayonetta;Agents of Mayhem;Wolfenstein II: The New Colossus;Killer Instinct;Prey
Marine-Michelle Perrot;ELEX;NieR:Automata;Hellblade: Senua's Sacrifice;Prey;Cuphead
Jérôme Marie;Pyre;Dishonored: Death of the Outsider;Prey;Divinity: Original Sin 2;Hollow Knight
Manon de Lesage;The Legend of Heroes: Trails of Cold Steel;Thimbleweed Park;Torment: Tides of Numenera;Prey;Divinity: Original Sin 2
Émilie Guillou du Tanguy;Prey;Divinity: Original Sin 2;Vanquish;Danganronpa V3: Killing Harmony;NieR:Automata
Éléonore Dumont;Nights of Azure;Thimbleweed Park;Life is Strange: Before the Storm;Sonic Mania;Cuphead
Zacharie Marechal;Vaporum;Resident Evil VII;Nier: Automata;Prey;Divinity: Original Sin 2
Léon Alves;NieR:Automata™;Life is Strange: Before the Storm;What Remains of Edith Finch;PLAYERUNKNOWN'S BATTLEGROUNDS;Bayonetta
Bernard Riou;What Remains of Edith Finch;Tacoma;SteamWorld Dig 2;Okami HD;Hollow Knight
Philippe Verdier;Bayonetta;The Legend of Heroes: Trails of Cold Steel;Hollow Knight;NieR: Automata;Divinity: Original Sin 2
Marine Prevost;The Evil Within 2;Cuphead;Life is Strange: Before the Storm;Danganronpa V3: Killing Harmony;Prey
Élise Ollivier;NieR:Automata™;The Legend of Heroes: Trails of Cold Steel;PLAYERUNKNOWN'S BATTLEGROUNDS;Hollow Knight;The Legend of Heroes: Trails in the Sky the 3rd
Michel Ruiz-Charpentier;Life is Strange: Before the Storm;Bleed 2;Nier:Automata™;What Remains of Edith Finch;Danganronpa V3: Killing Harmony
Louis Pires;Soda Dungeon;Pictopix;Cosmic Star Heroine;Atelier Sophie: The Alchemist of the Mysterious Book;The Legend of Heroes: Trails in the Sky the 3rd
Honoré Simon;Total War: WARHAMMER II;Unexplored;NieR:Automata™;Life is Strange: Before the Storm;Divinity: Original Sin 2
David Philippe;Doki Doki Literature Club!;West of Loathing;The Long Dark;Slime Rancher;Unexplored
Alfred Renault;Quake Champions;Prey;Hollow Knight;Rain World;NieR:Automata
Alphonse Benoit;Prey;What Remains of Edith Finch;Dishonored: Death of the Outsider;Life is Strange: Before the Storm;Divinity: Original Sin 2
Claude Lecomte;Trails in the Sky the 3rd;Doki Doki Literature Club;PUBG;Divinity: Original Sin 2;Nier:Automata
Emmanuelle Morvan Le Fernandes;Prey;RESIDENT EVIL 7 biohazard / BIOHAZARD 7 resident evil;PLAYERUNKNOWN'S BATTLEGROUNDS;Life is Strange: Before the Storm;Wolfenstein II: The New Colossus
Maurice-Guy Pages;Prey;South Park™: The Fractured But Whole™;RESIDENT EVIL 7 biohazard / BIOHAZARD 7 resident evil;Cuphead;NieR:Automata™
Jacques Petitjean;Planescape: Torment: Enhanced Edition;Pyre;Prey;Divinity: Original Sin 2;Hollow Knight
Stéphane Fontaine;Torment: Tides of Numenera;Tom Clancy's Ghost Recon Wildlands;PLAYERUNKNOWN'S BATTLEGROUNDS;Dungeons 3;Prey
Dorothée Gimenez;THE KING OF FIGHTERS XIV STEAM EDITION;Tekken 7;BlazBlue Centralfiction;Bayonetta;NieR: Automata
Nicole Deschamps;SteamWorld Dig 2;Prey;Dishonored®: Death of the Outsider™;Assassin's Creed® Origins;Hollow Knight
Andrée Charles Le Becker;Rez Infinite;Wolfenstein II: The New Colossus;PLAYERUNKNOWN'S BATTLEGROUNDS;Life is Strange: Before the Storm;Hellblade: Senua's Sacrifice
Théodore Begue de la Tanguy;Pyre;Paradigm;ELEX;Prey;Divinity: Original Sin 2
Olivie Laurent du Blanchet;Nex Machina;Opus Magnum;Tekken 7;Hollow Knight;NieR Automata
Joseph Guerin-Rodrigues;The Surge;NieR: Automata;Assassin's Creed: Origins;Nioh;Divinity: Original Sin II
Amélie Guyon-Martins;;;Divinity: Original Sin 2;A Hat in Time;BLUE REFLECTION / BLUE REFLECTION?????????
Capucine Aubert;Nex Machina;Death Coming;Lego City Undercover;Life is Strange: Before the Storm;Wolfenstein II: The New Colossus
Jeanne Riviere;The Evil Within 2;RiME;Hollow Knight;Prey;Divinity: Original Sin 2
Thierry-Roger Bernard;ELEX;A Hat in Time;Cuphead;NieR:Automata™;Divinity: Original Sin 2
Aurore Bonnet;NieR:Automata;Hellblade: Senua's Sacrifice;Wonder Boy: The Dragon's Trap;Sonic Mania;Hollow Knight
Alain Costa;Doki Doki Literature Club;Rez Infinite;Cosmic Star Heroine;OKAMI HD / ?? ???;Hellblade: Senua's Sacrifice
Inès-Cécile Morvan;Hollow Knight;OKAMI HD / ?? ???;What Remains of Edith Finch;Danganronpa V3: Killing Harmony;Cuphead
Joséphine Imbert;Slime Rancher;Endless Space® 2;Stardew Valley;Sid Meier’s Civilization® VI;Total War: WARHAMMER II
Thomas Collin-Cordier;;;Doki Doki Literature Club;Okami;Pyre
Célina Colas;PLAYERUNKNOWN'S BATTLEGROUNDS;Battlerite;Zero Escape: The Nonary Games;Danganronpa V3: Killing Harmony;Prey
Odette Legrand-Sanchez;Hollow Knight;To The Top;The End is Nigh;Cuphead;Getting Over It with Bennett Foddy
Raymond-Maurice Lacombe;Power Hover;Doki Doki Literature Club;Tekken 7;Nioh;RESIDENT EVIL 7 biohazard / BIOHAZARD 7 resident evil
Charlotte Pottier de la Sanchez;Omegaland;RiME;Snake Pass;Fidel Dungeon Rescue;Hollow Knight
Philippe Michel;PLAYERUNKNOWN'S BATTLEGROUNDS;The Sexy Brutale;Darkwood;Hellblade: Senua's Sacrifice;Prey
Charles-Hugues Berthelot;Atelier Sophie: The Alchemist of the Mysterious Book;Hollow Knight;Raw Data;NieR:Automata;Divinity: Original Sin 2
Jean Lefevre;Space Pirate Trainer;TEKKEN 7;Unexplored;Endless Space® 2;PLAYERUNKNOWN'S BATTLEGROUNDS
Mathilde Gimenez;PlayerUnknown's Battlegrounds;Cuphead;Resident Evil 7;Doki Doki Literature Club;Red Haze
Philippine Leclerc;Pinball FX3;A Hat in Time;Torment: Tides of Numenera;Sonic Mania;Hellblade: Senua's Sacrifice
Madeleine Devaux;;Nex Machina;Steamworld Dig 2;Stories Untold;Nier Automata
Frédéric-Isaac Martineau;Resident Evil VII Biohazard;The Evil Within 2;Nier Automata;Wolfenstein II The New Collossus;Prey
Luc Cohen;Agents of Mayhem;Hellblade: Senua's Sacrifice;Assassin's Creed Origins;Cuphead;Prey
Eugène Meunier;Pyre;A Hat in Time;Night in the Woods;Bayonetta;NieR:Automata™
Pauline Maillard;The Sexy Brutale;Stories Untold;Finding Paradise;What Remains of Edith Finch;Hellblade: Senua's Sacrifice
Roger Poulain;A Hat in Time;Wolfenstein II: The New Colossus;Hand of Fate 2;Hollow Knight;Divinity: Original Sin 2
Colette Dubois;Sonic Mania;Doki Doki Literature Club!;Cuphead;Marvel vs. Capcom: Infinite;NieR: Automata
Christine Baron;The Legend of Heroes: Trails of Cold Steel;Sonic Mania;NieR:Automata;The Legend of Heroes: Trails in the Sky the 3rd;Divinity Original Sin 2
Clémence Petit;Middle-earth™: Shadow of War™;RESIDENT EVIL 7 biohazard / BIOHAZARD 7 resident evil;SteamWorld Dig 2;The Evil Within 2;Prey
William Pottier;Killer Instinct;Resident Evil 7;Prey;Nier Automata;The Evil Within 2
François Laurent;Nights of Azure 2: Bride of the New Moon / ???????? ???????;Fairy Fencer F Advent Dark Force | ?????????? ?? ADVENT DARK FORCE | ???? F ADVENT DARK FORCE;Atelier Sophie: The Alchemist of the Mysterious Book;Tokyo Xanadu eX+;NieR:Automata™
Susanne Hoareau;The Surge;Assassin's Creed® Origins;Divinity: Original Sin 2;Elex;PLAYERUNKNOWN'S BATTLEGROUNDS
Suzanne Grondin-Camus;Cuphead;Wolfenstein II;Vanquish;Bayonetta;PLAYERUNKNOWN'S BATTLEGROUNDS
Gabrielle Huet;South Park™: The Fractured But Whole™;Assassin's Creed® Origins;Prey;Wolfenstein II: The New Colossus;Hollow Knight
Emmanuel Bruneau;NieR: Automata;Steel Division: Normandy 44;Dishonored 2: Death of the Outsider;Prey;Divinity: Original Sin 2
Bertrand Mary de Lacombe;RESIDENT EVIL 7 biohazard / BIOHAZARD 7 resident evil;Hollow Knight;Prey;PLAYERUNKNOWN'S BATTLEGROUNDS;Total War: WARHAMMER II
Sophie Wagner-Lebreton;PLAYERUNKNOWN'S BATTLEGROUNDS;Friday the 13th: The Game;Zero Escape: The Nonary Games;Killer Instinct;Prey
Isaac Bertin;Evil Within 2;Cuphead;Resident Evil 7;Sonic Mania;Hollow Knight
